"OTU" "p_value" "BH_FDR" "Kingdom" "Phylum" "Class" "Order" "Family" "Genus" "Species"
"a45413e6c5b88e234c57963f5f74f65d" 1.2696829404913e-56 1.2696829404913e-56 "Bacteria" "Cyanobacteria" NA "Oscillatoriales" "Sirenicapillariaceae" "Limnoraphis" "Limnoraphis_hieronymusii"
"dc9df4bf49e4c14cd61ac4c96957f512" 1.2696829404913e-56 1.2696829404913e-56 "Bacteria" "Cyanobacteria" NA "Oscillatoriales" "Sirenicapillariaceae" "Limnoraphis" "Limnoraphis_hieronymusii"
"a5e4cb0d03c6514c47f1666cab187b44" 1.2696829404913e-56 1.2696829404913e-56 "Bacteria" "Cyanobacteria" NA "Oscillatoriales" "Sirenicapillariaceae" "Limnoraphis" "Limnoraphis_hieronymusii"
"X20fea134530abec3528d9f99ca0af0f3" 1.2696829404913e-56 1.2696829404913e-56 NA NA NA NA NA NA NA
"X345a85da008c9d2bffaa6125df87df27" 1.2696829404913e-56 1.2696829404913e-56 NA NA NA NA NA NA NA
"X80ec0d6abfead39cb84943a6b8b5b906" 1.2696829404913e-56 1.2696829404913e-56 NA NA NA NA NA NA NA
"da6e2b3f0597a10c3b6d2fa9de7f4f28" 1.2696829404913e-56 1.2696829404913e-56 "Bacteria" "Cyanobacteria" NA "Oscillatoriales" "Sirenicapillariaceae" "Limnoraphis" "Limnoraphis_hieronymusii"
"dc8fc7b15dc7338e8da4e85f5ccf99d7" 1.2696829404913e-56 1.2696829404913e-56 "Bacteria" "Cyanobacteria" NA "Nostocales" "Symphyonemataceae" "Loriellopsis" "Loriellopsis_cavernicola"
"X6ec95a45b678d3d4c7e20b93338ba1a7" 1.2696829404913e-56 1.2696829404913e-56 NA NA NA NA NA NA NA
"X6559e7d49f66bc099400a03bd53d4a30" 1.2696829404913e-56 1.2696829404913e-56 NA NA NA NA NA NA NA
"bcad16b48bf9e31ef6dacf6c9bb349e9" 1.2696829404913e-56 1.2696829404913e-56 "Bacteria" "Cyanobacteria" NA "Oscillatoriales" "Sirenicapillariaceae" "Limnoraphis" "Limnoraphis_hieronymusii"
"X633bf675d55acfc08402c427e3d0db8e" 1.2696829404913e-56 1.2696829404913e-56 NA NA NA NA NA NA NA
"X5a74653326b023571cd35c2012ee373f" 1.2696829404913e-56 1.2696829404913e-56 NA NA NA NA NA NA NA
"X8f0f6156acdd6934acec591f2005f500" 1.2696829404913e-56 1.2696829404913e-56 NA NA NA NA NA NA NA
"d46f570312b238296a9c79e43e6b678c" 1.2696829404913e-56 1.2696829404913e-56 "Bacteria" "Cyanobacteria" NA "Oscillatoriales" "Sirenicapillariaceae" "Limnoraphis" "Limnoraphis_hieronymusii"
"X06a675b9e019fdb741a1739a99bc06f3" 1.2696829404913e-56 1.2696829404913e-56 NA NA NA NA NA NA NA
"c701bd0bda04f26f1d6f3ef0c8571010" 1.2696829404913e-56 1.2696829404913e-56 "Bacteria" "Cyanobacteria" NA "Oscillatoriales" "Sirenicapillariaceae" "Limnoraphis" "Limnoraphis_hieronymusii"
"a27d1c018b033d7ba1738b104432667a" 1.2696829404913e-56 1.2696829404913e-56 "Bacteria" "Cyanobacteria" NA "Oscillatoriales" "Sirenicapillariaceae" "Limnoraphis" "Limnoraphis_hieronymusii"
"caa376c967a23f0fa3d32771bf123b30" 1.2696829404913e-56 1.2696829404913e-56 "Bacteria" "Verrucomicrobia" "Opitutae" "Opitutales" "Opitutaceae" "Opitutus" "Opitutus_terrae"
"X06c9ffb182770d655ffc2750b08ced19" 1.2696829404913e-56 1.2696829404913e-56 NA NA NA NA NA NA NA
"X8015ea4962ee3c11f2ed6c01766f478a" 1.2696829404913e-56 1.2696829404913e-56 NA NA NA NA NA NA NA
"X5d8a45ddefd61222ca9bce26c87cb885" 1.2696829404913e-56 1.2696829404913e-56 NA NA NA NA NA NA NA
"X76a47f0d73622fd67175df99da69bd77" 1.2696829404913e-56 1.2696829404913e-56 NA NA NA NA NA NA NA
"X21515d742e0e2cd4258b3a926ae943c9" 1.2696829404913e-56 1.2696829404913e-56 NA NA NA NA NA NA NA
"X866c327d3ea90d44b6952fe312efc768" 1.2696829404913e-56 1.2696829404913e-56 NA NA NA NA NA NA NA
"a47f8e3dae54f6a8bb8909d2ffd2cb43" 1.2696829404913e-56 1.2696829404913e-56 "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Xanthomonadales" "Rhodanobacteraceae" "Rudaea" "Rudaea_cellulosilytica"
"X1809c79498df17c5a1d955de35ad1146" 1.2696829404913e-56 1.2696829404913e-56 NA NA NA NA NA NA NA
"X65a6d047ad9296e3967ab64060341ce8" 1.2696829404913e-56 1.2696829404913e-56 NA NA NA NA NA NA NA
"ceabf1aa2f366a1db4abcc57c1ba851f" 1.2696829404913e-56 1.2696829404913e-56 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Sphingomonadales" "Sphingomonadaceae" "Sphingomonas" "Sphingomonas_vulcanisoli"
"a910419b3d7537ae8becabd9e4bf9ad3" 1.2696829404913e-56 1.2696829404913e-56 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Sphingomonadales" "Sphingomonadaceae" "Sphingomonas" "bacterium_KR"
"a1a23c3c0787f059a261f80888d65d73" 1.2696829404913e-56 1.2696829404913e-56 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Sphingomonadales" "Sphingomonadaceae" "Sphingomonas" "Sphingomonas_crusticola"
"X3cf15b62a80a4b96651c854938e32c4b" 1.2696829404913e-56 1.2696829404913e-56 NA NA NA NA NA NA NA
"b2b1d87d5ed743c3651ac355e97cfeeb" 1.2696829404913e-56 1.2696829404913e-56 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Sphingomonadales" "Sphingomonadaceae" "Sphingomonas" "Sphingomonas_panni"
"ab090dcc4d0dc62fcad4d332e0462388" 1.2696829404913e-56 1.2696829404913e-56 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodospirillales" "Rhodospirillaceae" "Magnetospirillum" "alpha_proteobacterium"
"df894dbd06cee161407bbf67e926429c" 1.2696829404913e-56 1.2696829404913e-56 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Sphingomonadales" "Erythrobacteraceae" "Tsuneonella" "Tsuneonella_dongtanensis"
"a8238ccec1103870daf3dcb3f1d0ff9f" 1.2696829404913e-56 1.2696829404913e-56 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Sphingomonadales" "Sphingomonadaceae" "Sphingopyxis" "Sphingopyxis_taejonensis"
"f1a85abad7dc23bdb36ff28025c3feb8" 1.2696829404913e-56 1.2696829404913e-56 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Micropepsales" "Micropepsaceae" "Rhizomicrobium" "Rhizomicrobium_palustre"
"a7c01da2fe17088596614389a992bd7e" 1.2696829404913e-56 1.2696829404913e-56 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Hyphomicrobiales" "Methylobacteriaceae" "Microvirga" "Microvirga_aerilata"
"X1968de1e520a477c6f4a6d214e639e23" 1.2696829404913e-56 1.2696829404913e-56 NA NA NA NA NA NA NA
"X00218370593f47d711d311e62b2f3533" 1.2696829404913e-56 1.2696829404913e-56 NA NA NA NA NA NA NA
"X608bcef65fd2c9b5f8e017f38ad481ab" 1.2696829404913e-56 1.2696829404913e-56 NA NA NA NA NA NA NA
"X60167fcaea7eb2cf8e1b69080177c287" 1.2696829404913e-56 1.2696829404913e-56 NA NA NA NA NA NA NA
"X36185985c781a7b42f0b693b5ca55a78" 1.2696829404913e-56 1.2696829404913e-56 NA NA NA NA NA NA NA
"X63e2ed34d9578d6df66877762b270612" 1.2696829404913e-56 1.2696829404913e-56 NA NA NA NA NA NA NA
"X72b76c32105430ab1a459d1ad5e2198a" 1.2696829404913e-56 1.2696829404913e-56 NA NA NA NA NA NA NA
"X625c15e08fbeed99dd35ecad739f652d" 1.2696829404913e-56 1.2696829404913e-56 NA NA NA NA NA NA NA
"X3b098bf7856acf1ebdcf51c18690b30e" 1.2696829404913e-56 1.2696829404913e-56 NA NA NA NA NA NA NA
"X770807da5f215c2d7163d419497e2354" 1.2696829404913e-56 1.2696829404913e-56 NA NA NA NA NA NA NA
"X6b040b6af0e731b88c90b2f3b8f37723" 1.2696829404913e-56 1.2696829404913e-56 NA NA NA NA NA NA NA
"X44d01ca17823f05dcc4c900a71931e62" 1.2696829404913e-56 1.2696829404913e-56 NA NA NA NA NA NA NA
"X82e8989492ecb1833fd310058a6249cf" 1.2696829404913e-56 1.2696829404913e-56 NA NA NA NA NA NA NA
"X17976d374c22323bac78fe06ebb053a0" 1.2696829404913e-56 1.2696829404913e-56 NA NA NA NA NA NA NA
"X0ba1ba5d63c71ff5d35efe9e6f0b843f" 1.2696829404913e-56 1.2696829404913e-56 NA NA NA NA NA NA NA
"X7f62605d9df64ec7361dd1838dd7b396" 1.2696829404913e-56 1.2696829404913e-56 NA NA NA NA NA NA NA
"a3a9b25d687885e94a040a8c137f8f58" 1.2696829404913e-56 1.2696829404913e-56 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodospirillales" "Acetobacteraceae" "Acidocella" "Acidocella_aquatica"
"d7bd92fd2b6f4b754f3a613637170234" 1.2696829404913e-56 1.2696829404913e-56 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodospirillales" "Acetobacteraceae" "Acidocella" "Acidocella_aquatica"
"e1588099d109fccbe0f1868058ba7d2a" 1.2696829404913e-56 1.2696829404913e-56 "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Lactobacillaceae" "Periweissella" "Periweissella_fabalis"
"X56ee6acbf9fd11a48200fedb2da759a2" 1.2696829404913e-56 1.2696829404913e-56 NA NA NA NA NA NA NA
"e11b7289e128fd119fb345601fd2225e" 1.2696829404913e-56 1.2696829404913e-56 "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Chromatiales" "Ectothiorhodospiraceae" "Thiogranum" "Thiogranum_longum"
"X33d45e5d6ca6d4ae13f3f4357d0dc8d8" 1.2696829404913e-56 1.2696829404913e-56 NA NA NA NA NA NA NA
"X6f9ecfd670c5a55f766583a1734d0195" 1.2696829404913e-56 1.2696829404913e-56 NA NA NA NA NA NA NA
"X7453cb30a3ec4615fea0c66a876e8635" 1.2696829404913e-56 1.2696829404913e-56 NA NA NA NA NA NA NA
"b0931631a93c02ca7384909f8ab71f1d" 1.2696829404913e-56 1.2696829404913e-56 "Bacteria" "Proteobacteria" "Deltaproteobacteria" "Desulfovibrionales" "Desulfohalobiaceae" "Desulfonatronovibrio" "Desulfonatronovibrio_hydrogenovorans"
"X061f16c681d269e6539b1995cc66b9cb" 1.2696829404913e-56 1.2696829404913e-56 NA NA NA NA NA NA NA
"X763d9598bd0e10dc6eafef076efe6f8c" 1.2696829404913e-56 1.2696829404913e-56 NA NA NA NA NA NA NA
"c8d310b276d6e047d0dbfa0d45b62730" 1.2696829404913e-56 1.2696829404913e-56 "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Lactobacillaceae" "Fructobacillus" "Fructobacillus_pseudoficulneus"
"X799fa42231ac663a9f809835f91878f2" 1.2696829404913e-56 1.2696829404913e-56 NA NA NA NA NA NA NA
"a535e4a3828ff0f08c944d1f7feec2d5" 1.2696829404913e-56 1.2696829404913e-56 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodospirillales" "Acetobacteraceae" "Acidocella" "Acidocella_aquatica"
"ef353c3d8984fc1479d78fc03f9a2807" 1.2696829404913e-56 1.2696829404913e-56 "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Lactobacillaceae" "Lactobacillus" "Lactobacillus_gigeriorum"
"X894ffc42ff18e0cd4c5fcb2ddb548c91" 1.2696829404913e-56 1.2696829404913e-56 NA NA NA NA NA NA NA
"X3e77a29d9fa918f94e461b8c879e1bb6" 1.2696829404913e-56 1.2696829404913e-56 NA NA NA NA NA NA NA
"f08314542ff892aa23697ac910c11989" 1.2696829404913e-56 1.2696829404913e-56 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Hyphomicrobiales" "Nitrobacteraceae" "Rhodopseudomonas" "Rhodopseudomonas_harwoodiae"
"X6fc1d320db113756ad7946d5fafd752a" 1.2696829404913e-56 1.2696829404913e-56 NA NA NA NA NA NA NA
"cf779961985d251238383cbbea4c849d" 1.2696829404913e-56 1.2696829404913e-56 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhodospirillales" "Azospirillaceae" "Niveispirillum" "Niveispirillum_fermenti"
"X30c0d68da068b0b58d5dadc2d9cba9dc" 1.2696829404913e-56 1.2696829404913e-56 NA NA NA NA NA NA NA
"X9c5b61532d8a8da5afebad5ae41328a4" 1.2696829404913e-56 1.2696829404913e-56 NA NA NA NA NA NA NA
"X015bff567a4714fc9232944ed1c10d9b" 1.2696829404913e-56 1.2696829404913e-56 NA NA NA NA NA NA NA
"X36500086ef0405dc55e0ddce8c16bcb4" 1.2696829404913e-56 1.2696829404913e-56 NA NA NA NA NA NA NA
"X917c7642dc09defd4a00e0754aaa606d" 1.2696829404913e-56 1.2696829404913e-56 NA NA NA NA NA NA NA
"X7915afbc74f1da14ae46e88c76ba7aaa" 1.2696829404913e-56 1.2696829404913e-56 NA NA NA NA NA NA NA
"X81624ee07ab434b2916bc38031df0267" 1.2696829404913e-56 1.2696829404913e-56 NA NA NA NA NA NA NA
"ffe00f0cd74280a7460c87f4355aae24" 1.2696829404913e-56 1.2696829404913e-56 "Bacteria" "Proteobacteria" "Deltaproteobacteria" "Myxococcales" "Polyangiaceae" "Chondromyces" "Chondromyces_apiculatus"
"X241cc2865f8c25728734e907776f20e1" 1.2696829404913e-56 1.2696829404913e-56 NA NA NA NA NA NA NA
"a4ef34028ec834b44313f58d4026fdb6" 1.2696829404913e-56 1.2696829404913e-56 "Bacteria" "Proteobacteria" "Deltaproteobacteria" "Myxococcales" "Nannocystaceae" "Nannocystis" "Nannocystis_konarekensis"
"X3ba73fe9ce1c65f0235518198b2c6576" 1.2696829404913e-56 1.2696829404913e-56 NA NA NA NA NA NA NA
"c4beee866f4084aaaeb613a6f3242220" 1.2696829404913e-56 1.2696829404913e-56 "Bacteria" "Proteobacteria" "Deltaproteobacteria" "Myxococcales" "Kofleriaceae" "Haliangium" "Haliangium_tepidum"
"fb87a9ccd4b8d18e8700513a68cdf486" 1.2696829404913e-56 1.2696829404913e-56 "Bacteria" "Proteobacteria" "Deltaproteobacteria" "Desulfobacterales" "Desulfobacteraceae" "Desulfatiferula" "Desulfatiferula_berrensis"
"f16f2b0038c0111d318b0c3e4440b66f" 1.2696829404913e-56 1.2696829404913e-56 "Bacteria" "Acidobacteria" "Thermoanaerobaculia" "Thermoanaerobaculales" "Thermoanaerobaculaceae" "Subgroup_10" "bacterium_3-5_YC-ZSS-LKJ-3024"
"X4f8cc211d04de570491d5b5f646359b1" 1.2696829404913e-56 1.2696829404913e-56 NA NA NA NA NA NA NA
"X21102eba42ad80631a5e83e1907029f8" 1.2696829404913e-56 1.2696829404913e-56 NA NA NA NA NA NA NA
"df1d9f4b685e685945f8f72941da2999" 1.2696829404913e-56 1.2696829404913e-56 "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Xanthomonadales" "Xanthomonadaceae" "Pseudoxanthomonas" "Pseudoxanthomonas_mexicana"
"b87883b312b4a5ffc1ce5a8cdddbd00d" 1.2696829404913e-56 1.2696829404913e-56 "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Xanthomonadales" "Xanthomonadaceae" "Lysobacter" "Lysobacter_concretionis"
"X239e11540504675309d85bc68fde982e" 1.2696829404913e-56 1.2696829404913e-56 NA NA NA NA NA NA NA
"X4d68c69e5cb78be1a5e5c05b8807eaa8" 1.2696829404913e-56 1.2696829404913e-56 NA NA NA NA NA NA NA
"X2b9058ef02193386cc37111023c9374b" 1.2696829404913e-56 1.2696829404913e-56 NA NA NA NA NA NA NA
"a3e37417baeb6eb648268454cc476d81" 1.2696829404913e-56 1.2696829404913e-56 "Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" "Comamonadaceae" "Rhodoferax" "Albidiferax_ferrireducens"
"X643b2c58e31e86e6b10822f77aca4536" 1.2696829404913e-56 1.2696829404913e-56 NA NA NA NA NA NA NA
"db3e55879a2da0e66150bc905c1c607f" 1.2696829404913e-56 1.2696829404913e-56 "Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" "Comamonadaceae" "Acidovorax" "Acidovorax_oryzae"
"X7a6dad459fd099e112642e92931f57c4" 1.2696829404913e-56 1.2696829404913e-56 NA NA NA NA NA NA NA
"X8abb1c6d9cd17b9b86dfd0ef202cd9f8" 1.2696829404913e-56 1.2696829404913e-56 NA NA NA NA NA NA NA
"X3d50ea5f786b0b921cb623a5214cdc09" 1.2696829404913e-56 1.2696829404913e-56 NA NA NA NA NA NA NA
"X55ecd0f5b9d95ea61546285e20077f96" 1.2696829404913e-56 1.2696829404913e-56 NA NA NA NA NA NA NA
"X2dbbf179930b5ed4961c505efacdb67b" 1.2696829404913e-56 1.2696829404913e-56 NA NA NA NA NA NA NA
"e3a0f68feaf893bb376e16e1b07e6a06" 1.2696829404913e-56 1.2696829404913e-56 "Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" "Oxalobacteraceae" "Massilia" "Massilia_timonae"
"a04753162dea4659659220373ab96b95" 1.2696829404913e-56 1.2696829404913e-56 "Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" "Oxalobacteraceae" "Massilia" "Massilia_humi"
"ec09759d7e33aeddd9ac3cd2f07e45dd" 1.2696829404913e-56 1.2696829404913e-56 "Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" "Oxalobacteraceae" "Duganella" "Duganella_zoogloeoides"
"X4e8d6899cbf10ef9cbc270667d9cad81" 1.2696829404913e-56 1.2696829404913e-56 NA NA NA NA NA NA NA
"X608cd9aa277f7cfefe48e1d20da0a999" 1.2696829404913e-56 1.2696829404913e-56 NA NA NA NA NA NA NA
"cd1eb21ca18e70ee6aca82689f890633" 1.2696829404913e-56 1.2696829404913e-56 "Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" "Alcaligenaceae" "Advenella" "Advenella_incenata"
"X1cf562ea3696969bcfddab9edc57352c" 1.2696829404913e-56 1.2696829404913e-56 NA NA NA NA NA NA NA
"fcb7082e1bf447799bb18aedcaf57fcb" 1.2696829404913e-56 1.2696829404913e-56 "Bacteria" "Proteobacteria" "Betaproteobacteria" "Burkholderiales" "Oxalobacteraceae" "Herminiimonas" "Herminiimonas_fonticola"
"X40181a881efc3b1c68119535986ae101" 1.2696829404913e-56 1.2696829404913e-56 NA NA NA NA NA NA NA
"fc0249ec9efbf82c745e7445e9411d8b" 1.2696829404913e-56 1.2696829404913e-56 "Bacteria" "Proteobacteria" "Betaproteobacteria" "Nitrosomonadales" "Sterolibacteriaceae" "Sulfurisoma" "Sulfurisoma_sediminicola"
"X191ebbfc4863389314f8b8e02e50ad6e" 1.2696829404913e-56 1.2696829404913e-56 NA NA NA NA NA NA NA
"X063c51e534932fbf328eea2f62d83599" 1.2696829404913e-56 1.2696829404913e-56 NA NA NA NA NA NA NA
"c978dda22aa4b7cd5dab23ffb88535a6" 1.2696829404913e-56 1.2696829404913e-56 "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Alteromonadales" "Colwelliaceae" "Thalassotalea" "Thalassotalea_euphylliae"
"X3917ae55db4a77b9486369e7d4856a96" 1.2696829404913e-56 1.2696829404913e-56 NA NA NA NA NA NA NA
"X0bc535492d970f6914e53cad6dd9f8a1" 1.2696829404913e-56 1.2696829404913e-56 NA NA NA NA NA NA NA
"X0c50f52c477ac1c3294706b3e2ccdf96" 1.2696829404913e-56 1.2696829404913e-56 NA NA NA NA NA NA NA
"c875d3115bf6e2bec52b51682877a999" 1.2696829404913e-56 1.2696829404913e-56 "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Methylococcales" "Methylococcaceae" "Methyloterricola" "Methyloterricola_oryzae"
"b4a4dfb610fb6a3fbc2bc0d233d722fe" 1.2696829404913e-56 1.2696829404913e-56 "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Legionellales" "Coxiellaceae" "Coxiella" "Coxiella_cheraxi"
"X02c9b557a5aba2f795faee8e05b0683e" 1.2696829404913e-56 1.2696829404913e-56 NA NA NA NA NA NA NA
"f7b76ca2071dadf21d6d81bbc353891a" 1.2696829404913e-56 1.2696829404913e-56 "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Legionellales" "Legionellaceae" "Legionella" "Legionella_geestiana"
"cabbbe884493926e9334bc05ae1e3f45" 1.2696829404913e-56 1.2696829404913e-56 "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Cellvibrionales" "Cellvibrionaceae" "Cellvibrio" "Cellvibrio_gandavensis"
"b2e57a36207fe651a6922f6aa32e461d" 1.2696829404913e-56 1.2696829404913e-56 "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Pseudomonadales" "Pseudomonadaceae" "Pseudomonas" "Pseudomonas_viridiflava"
"X9a38403810e533c09600219c4c1466d7" 1.2696829404913e-56 1.2696829404913e-56 NA NA NA NA NA NA NA
"X6187ce04ae26d0fab4a54431cc73220e" 1.2696829404913e-56 1.2696829404913e-56 NA NA NA NA NA NA NA
"c6f2609967b22f55ff39b36a34e240e9" 1.2696829404913e-56 1.2696829404913e-56 "Bacteria" "Proteobacteria" "Oligoflexia" "Bdellovibrionales" "Bdellovibrionaceae" "Bdellovibrio" "Bdellovibrio_bacteriovorus"
"ee35a44c6be709c0f77bc136f2732a43" 1.2696829404913e-56 1.2696829404913e-56 "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Hyphomicrobiales" "Reyranellaceae" "Reyranella" "Reyranella_aquatilis"
"X707785db1f347fc6a07e9bb640a7a840" 1.2696829404913e-56 1.2696829404913e-56 NA NA NA NA NA NA NA
"X46e7e4ba6fd2694355e24c8f24f6f9b6" 1.2696829404913e-56 1.2696829404913e-56 NA NA NA NA NA NA NA
"X77c04ef4b6dc7ab28e21b8b8f7bbda19" 1.2696829404913e-56 1.2696829404913e-56 NA NA NA NA NA NA NA
"c84b065fac3a9f52c2615e391a52f455" 1.2696829404913e-56 1.2696829404913e-56 "Bacteria" "Bacteroidetes" "Cytophagia" "Cytophagales" "Fulvivirgaceae" "Fulvivirga" "Fulvivirga_lutimaris"
"d695ca40b37a712c809bfbe77a466f76" 1.2696829404913e-56 1.2696829404913e-56 "Bacteria" "Bacteroidetes" "Cytophagia" "Cytophagales" "Fulvivirgaceae" "Ohtaekwangia" "Ohtaekwangia_kribbensis"
"X0487be7cf3b93e81de231a33136c5cf4" 1.2696829404913e-56 1.2696829404913e-56 NA NA NA NA NA NA NA
"b87f9a1649b4a675c4bfba772ee276ad" 1.2696829404913e-56 1.2696829404913e-56 "Bacteria" "Bacteroidetes" "Cytophagia" "Cytophagales" "Fulvivirgaceae" "Ohtaekwangia" "Ohtaekwangia_koreensis"
"X88868b51c05348e0869ea111b03ad9b9" 1.2696829404913e-56 1.2696829404913e-56 NA NA NA NA NA NA NA
"X097a46f0dfc09f6a966718f82955598e" 1.2696829404913e-56 1.2696829404913e-56 NA NA NA NA NA NA NA
"X15d7a268ce95bc6e7dd4c2316cadb07c" 1.2696829404913e-56 1.2696829404913e-56 NA NA NA NA NA NA NA
"fd19397fdad74acb0a77e6ae5f44f7fd" 1.2696829404913e-56 1.2696829404913e-56 "Bacteria" "Bacteroidetes" "Cytophagia" "Cytophagales" "Fulvivirgaceae" "Chryseolinea" "Chryseolinea_serpens"
